Sample Index,Iterative Silhouette
381,0.12354158610105515
382,0.12312530726194382
383,0.12328022718429565
384,0.1229904294013977
385,0.12346622347831726
386,0.12285131216049194
387,0.1220075935125351
388,0.12166105210781097
389,0.12143132090568542
390,0.12096253037452698
391,0.12021905183792114
392,0.12183762341737747
393,0.12173032015562057
394,0.12307755649089813
395,0.12228738516569138
396,0.12386039644479752
397,0.1240190789103508
398,0.12524399161338806
399,0.12492042779922485
400,0.1244746744632721
401,0.12376238405704498
402,0.1236937865614891
403,0.1240970715880394
404,0.12439559400081635
405,0.12454349547624588
406,0.12401449680328369
407,0.1235150545835495
408,0.12351377308368683
409,0.12346094846725464
410,0.12360115349292755
411,0.12502503395080566
412,0.12529465556144714
413,0.12681734561920166
414,0.12610439956188202
415,0.1275891214609146
416,0.12783223390579224
417,0.12782084941864014
418,0.12772296369075775
419,0.12815719842910767
420,0.12800857424736023
421,0.12829667329788208
422,0.12832710146903992
423,0.12782715260982513
424,0.12780018150806427
425,0.1273219883441925
426,0.12715251743793488
427,0.12738746404647827
428,0.12842747569084167
429,0.127792090177536
430,0.1278020590543747
431,0.12777461111545563
432,0.12749548256397247
433,0.12716986238956451
434,0.1273186355829239
435,0.12730807065963745
436,0.1272180676460266
437,0.12695901095867157
438,0.12679612636566162
439,0.12697070837020874
440,0.12756304442882538
441,0.12745621800422668
442,0.1275140792131424
443,0.1276424378156662
444,0.12708225846290588
445,0.12667420506477356
446,0.12572169303894043
447,0.1270374357700348
448,0.12670361995697021
449,0.12639717757701874
450,0.12624187767505646
451,0.12708263099193573
452,0.1268940418958664
453,0.12681835889816284
454,0.1265501230955124
455,0.12617142498493195
456,0.12585614621639252
457,0.12570422887802124
458,0.12581659853458405
459,0.12548142671585083
460,0.12566402554512024
461,0.12560702860355377
462,0.12520228326320648
463,0.12444637715816498
464,0.12401425093412399
465,0.12433092296123505
466,0.12412803620100021
467,0.12404726445674896
468,0.1234278529882431
469,0.12301446497440338
470,0.12434795498847961
471,0.12399405241012573
472,0.12480468302965164
473,0.1260194182395935
474,0.12559761106967926
475,0.12580913305282593
476,0.1253611147403717
477,0.1249840036034584
478,0.12462541460990906
479,0.12465028464794159
480,0.12487446516752243
481,0.12581884860992432
482,0.12541282176971436
483,0.12549203634262085
484,0.12544740736484528
485,0.12545885145664215
486,0.12497954070568085
487,0.12462501972913742
488,0.12423641979694366
489,0.12398792058229446
490,0.12394991517066956
491,0.12455424666404724
492,0.12408526241779327
493,0.12415903061628342
494,0.12384957820177078
495,0.12508442997932434
496,0.12516844272613525
497,0.12485451996326447
498,0.1251201182603836
499,0.12465430051088333
500,0.12487940490245819
501,0.12440669536590576
502,0.1240093931555748
503,0.12314368039369583
504,0.12311572581529617
505,0.12338653206825256
506,0.12321969121694565
507,0.12450060248374939
508,0.12429434806108475
509,0.12419769912958145
510,0.12486959993839264
511,0.12423986196517944
512,0.1235339343547821
513,0.12330316752195358
514,0.12347660958766937
515,0.1230214312672615
516,0.12274474650621414
517,0.1223846822977066
